ID,table,diagnosis Year,Age Specific Incidence Age0_49,age Specific Incidence  Age 0-54,ageSpecificIncidenceAge 55-59,age SpecificIncidence Age60-64,ageSpecificIncidenceAge65_69,age Spes IncidenceAge70-74,Age_Specific_IncidenceAge75_79,Age80_84,Age85_89,Age 90
134,South East,2018,0.86984783,6.8963037,9.9908752,12.110456,11.750831,18.518164,4,15.317359,21.373888,27.731262
135,South East,2019,0.76469934,6.1679735,7.1352935,12.394861,16.706951,18.614729,4,25.027954,23.046785,31.028599
136,South East,2020,0.90843576,5.3275776,10.11378,11.882331,11.75651,17.867495,4,21.560932,24.169952,23.89809
137,South East,,0.76346463,5.9411731,8.5400143,11.343449,14.453672,19.384531,4,24.949196,29.957125,28.732094
138,South East,2022,0.70481163,4.4561706,7.8327537,10.832254,12.085284,15.003519,16.539902,15.404669,10.994918,14.978281
139,South East,2023,0.61671019,6.6074252,9.2150049,10.477098,13.145396,15.224159,17.527359,18.169609,23.822323,9.9855213
140,,,,,,,,,,,,
141,South West,All Years,,,,,,,,,,
142,South West,2016,0.67551798,8.2716093,8.9309387,12.595929,10.62943,17.948736,19.875824,17.411203,18.186518,29.852154
143,South West,2017,1.1030942,5.6965804,10.809759,15.733785,12.35843,17.016932,13.435567,16.499432,19.775129,20.32139
144,South West,2018,1.4094532,5.191184,12.104594,10.701896,14.239706,15.06437,15.112253,22.169495,21.466238,21.845644
145,South West,2019,1.0739362,7.2043247,8.9572258,14.574201,17.774237,15.669209,22.36721,23.331505,20.287342,24.241322
146,South West,,0.70738369,5.529736,8.0047226,9.6636753,13.959851,18.470415,19.735861,23.634256,30.199039,19.50312
147,South West,2021,0.95080793,6.3002286,14.190887,12.062065,16.038986,16.955593,19.406319,24.693769,18.019804,17.665243
148,South West,2022,0.88235819,4.8586516,10.426391,10.113269,13.379269,12.932588,15.964794,16.328369,15.91118,10.206908
149,South West,2023,0.97363669,4.091496,5.5769067,9.0487137,13.987417,15.395937,12.494186,15.202274,17.679089,23.330076
150,,,,,,,,,,,,
151,West Midlands,All Years,,,,,,,,,,
152,West Midlands,2016,1.0038505,8.1708651,11.961075,15.475036,14.182653,18.307823,16.722069,18.632511,19.090399,9.9056978
153,West Midlands,2017,0.94720984,8.0913095,12.957475,13.688426,16.069578,13.555066,15.530128,25.666485,16.449894,11.725163
154,West Midlands,2018,0.973436,6.5644555,10.475929,15.053959,16.053566,18.717958,17.494921,19.717903,19.57011,25.361895
155,West Midlands,2019,0.67622691,5.3262706,13.873874,10.183488,20.949484,16.857082,16.716585,16.606415,22.458212,15.145205
156,West Midlands,,0.78693408,5.8273501,11.003381,15.381831,11.925734,15.052771,14.398135,17.130783,18.082605,13.239271
157,West Midlands,2021,1.086756,8.2405062,11.586639,15.479424,20.040421,19.781584,29.189447,17.850767,26.119755,14.858565
158,West Midlands,2022,0.94133091,6.1254544,10.23023,12.48443,17.093388,13.489144,12.626005,20.823736,16.271406,7.2539988
159,West Midlands,2023,0.72616953,8.8206539,11.228301,8.5121117,13.071413,22.008604,17.920782,20.823736,22.373184,12.694498
160,,,,,,,,,,,,
161,Yorkshire and the Humber,All Years,,,,,,,,,,
162,Yorkshire and the Humber,2016,1.1740613,7.1046276,13.546185,16.221422,14.626156,19.86727,22.570879,20.799442,28.619425,20.138283
163,Yorkshire and the Humber,2017,,10.199625,14.932788,12.957801,17.109226,20.763161,9.9135866,16.742615,22.051798,8.8609276
164,Yorkshire and the Humber,2018,,6.7885118,12.365942,,19.318174,17.242266,19.5049,17.074074,28.997414,22.180819
165,Yorkshire and the Humber,2019,,8.0977373,10.995566,,17.377426,20.820246,19.90029,15.331331,20.082218,25.897232
166,Yorkshire and the Humber,2020,,8.1516953,11.349297,,20.730278,16.333487,20.79677,15.985765,16.383083,19.51812
167,,2021,,7.8726726,14.679781,,19.522861,20.789509,20.42275,22.542038,32.170967,27.462662
168,Yorkshire and the Humber,2022,,8.2234221,12.202562,,18.14426,14.479786,18.957012,20.419373,23.544184,18.71452
169,Yorkshire and the Humber,2023,0.94575083,6.8970642,10.876197,12.107002,20.586758,14.851063,13.666683,21.123487,11.211516,22.873302
170,,,,,,,,,,,,
171,Emergency dept,All Years,,,,,,,,,,
172,Emergency dept,2016,0.059653167,0.30982974,0.32566926,0.64824891,0.46173304,1.0918456,0.83516794,1.1149441,1.7851915,2.0498271
173,Emergency dept,2017,0.059676003,0.30608833,0.55770785,0.42448953,0.91171926,0.46915251,0.72892523,1.1464239,1.4583348,2.0187991
174,Emergency dept,2018,0.059607949,0.25555971,0.65132242,0.57474053,0.63696384,0.84944415,1.3022738,0.85757524,0.93007493,0.8011601
175,Emergency dept,2019,0,0,0,0,0,0,0,0,0,0
176,,2020,0,0,0,0,0,0,0,0,0,0
177,Emergency dept,2021,0,0,0,0,0,0,0,0,0,0
178,Emergency dept,2022,0.047954608,0.52365971,0.61789626,0.62894541,0.89121795,0.87167203,0.60935754,1.023882,1.2663974,1.5535791
179,Emergency dept,2023,0.070521481,0.44511077,0.56640494,0.60035694,0.75410748,1.0990648,0.97497207,1.2158599,0.97415185,0.9709869
180,,,,,,,,,,,,
181,Non-Emergency dept,All Years,,,,,,,,,,
182,Non-Emergency dept,2016,0.93456626,6.5580626,10.895117,14.022647,14.973343,16.671642,17.928272,17.095808,18.44698,18.448444
183,Non-Emergency dept,2017,1.0230172,7.1675682,10.206054,12.310196,15.078434,15.482033,13.745447,15.780189,14.895849,16.352272
184,Non-Emergency dept,2018,0.86573452,6.4656606,9.3084831,12.452712,13.907044,14.865273,15.477023,15.106518,16.534664,20.429583
185,Non-Emergency dept,2019,0,0,0,0,0,0,0,0,0,0
186,Non-Emergency dept,2020,0,0,0,0,0,0,0,0,0,0
